,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-10-12,270.20001,280.17999,267.87000,275.75000,275.75000,31019300
1,2020-10-13,277.57999,279.10001,273.39001,276.14001,276.14001,18063300
2,2020-10-14,277.62000,278.75000,271.50000,271.82001,271.82001,15601200
3,2020-10-15,267.60001,269.04001,263.67001,266.72000,266.72000,15416100
4,2020-10-16,267.38000,271.37000,265.29999,265.92999,265.92999,16622700
5,2020-10-19,265.53000,268.54999,259.88000,261.39999,261.39999,13587000
6,2020-10-20,263.06000,269.70001,262.88000,267.56000,267.56000,18763200
7,2020-10-21,279.56000,283.04999,276.37000,278.73001,278.73001,28998600
8,2020-10-22,279.87000,282.45001,275.04001,278.12000,278.12000,16720000
9,2020-10-23,278.79999,285.23999,276.82001,284.79001,284.79001,17535200
10,2020-10-26,283.16000,285.23001,274.26001,277.10999,277.10999,21322900
11,2020-10-27,278.76001,284.51001,276.31000,283.29001,283.29001,16287200
12,2020-10-28,278.79001,278.79001,267.26001,267.67001,267.67001,23121800
13,2020-10-29,276.54999,283.60001,273.78000,280.82999,280.82999,32368100
14,2020-10-30,274.50000,276.70001,259.10001,263.10999,263.10999,47247800
15,2020-11-02,264.60001,270.47000,257.34000,261.35999,261.35999,27165700
16,2020-11-03,263.16000,270.04999,260.88000,265.29999,265.29999,17961900
17,2020-11-04,281.00000,288.94000,278.62000,287.38000,287.38000,35364400
18,2020-11-05,291.89999,297.38000,288.95001,294.67999,294.67999,23823600
19,2020-11-06,293.95001,294.60001,288.06000,293.41000,293.41000,13891000
20,2020-11-09,289.87000,292.57999,278.53000,278.76999,278.76999,25117700
21,2020-11-10,273.10001,274.00000,264.00000,272.42999,272.42999,29067700
22,2020-11-11,273.47000,278.39999,272.48001,276.48001,276.48001,14937900
