,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-06-14,123.80000,124.79000,122.16000,124.38000,124.38000,24659600
1,2023-06-15,123.88000,126.16000,123.14000,125.79000,125.79000,24517100
2,2023-06-16,126.70000,126.70000,123.79000,124.06000,124.06000,56686800
3,2023-06-20,123.53500,125.17500,122.83000,123.85000,123.85000,22698000
4,2023-06-21,123.23500,123.41000,120.86000,121.26000,121.26000,22612000
5,2023-06-22,120.66000,123.93500,119.60000,123.87000,123.87000,20781900
6,2023-06-23,122.04000,123.44000,121.86000,123.02000,123.02000,29542900
7,2023-06-26,121.46600,122.72000,118.99000,119.09000,119.09000,23185000
8,2023-06-27,117.84000,119.89500,116.91000,119.01000,119.01000,27221700
9,2023-06-28,117.96000,121.27000,117.60000,121.08000,121.08000,19753100
10,2023-06-29,120.09000,120.91000,119.21000,120.01000,120.01000,18517500
11,2023-06-30,121.10000,122.03000,120.88000,120.97000,120.97000,23865800
12,2023-07-03,120.32000,121.02000,119.70500,120.56000,120.56000,13888300
13,2023-07-05,120.06000,123.37000,120.06000,122.63000,122.63000,17830300
14,2023-07-06,120.64000,121.15000,119.25000,120.93000,120.93000,17732500
15,2023-07-07,120.89000,121.75000,120.09000,120.14000,120.14000,20982400
16,2023-07-10,119.07000,119.07000,116.64000,116.87000,116.87000,32960100
17,2023-07-11,116.76000,118.22500,115.83000,117.71000,117.71000,18286600
18,2023-07-12,119.30000,120.96000,119.00000,119.62000,119.62000,22059600
19,2023-07-13,121.54000,125.33500,121.06000,124.83000,124.83000,31535900
20,2023-07-14,125.13000,127.09000,124.90000,125.70000,125.70000,20482800
21,2023-07-17,126.06000,127.28000,124.50000,125.06000,125.06000,20675300
22,2023-07-18,124.90500,124.99000,123.30000,124.08000,124.08000,21071200
23,2023-07-19,124.79000,125.47000,122.47000,122.78000,122.78000,22313800
24,2023-07-20,122.12000,124.70000,118.68500,119.53000,119.53000,27541700
25,2023-07-21,120.87000,121.30000,119.07000,120.31000,120.31000,56498100
26,2023-07-24,121.92600,123.35000,121.38000,121.88000,121.88000,22276100
27,2023-07-25,121.88000,123.69000,121.53000,122.79000,122.79000,31820800
28,2023-07-26,130.36000,131.37000,128.71001,129.66000,129.66000,46216900
29,2023-07-27,131.80000,133.60001,129.17999,129.87000,129.87000,35931600
30,2023-07-28,130.97000,134.07001,130.92000,133.00999,133.00999,26971000
31,2023-07-31,133.00999,133.83000,132.13000,133.11000,133.11000,18381900
32,2023-08-01,130.85500,132.92000,130.75000,131.89000,131.89000,22154300
33,2023-08-02,129.84000,130.42000,127.85000,128.64000,128.64000,22705800
34,2023-08-03,128.37000,129.77000,127.77500,128.77000,128.77000,15018100
35,2023-08-04,129.60001,131.92999,128.31500,128.53999,128.53999,20509500
36,2023-08-07,129.50999,132.06000,129.42999,131.94000,131.94000,17621000
37,2023-08-08,130.98000,131.94000,130.13000,131.84000,131.84000,16836000
38,2023-08-09,132.19000,132.47000,129.50500,130.14999,130.14999,17745200
39,2023-08-10,131.97000,132.64700,130.03500,130.21001,130.21001,17855700
40,2023-08-11,129.20200,130.44000,128.75000,130.17000,130.17000,15191500
41,2023-08-14,129.85001,131.91000,129.59000,131.83000,131.83000,17526200
42,2023-08-15,131.59000,131.99001,129.81900,130.27000,130.27000,14769200
43,2023-08-16,129.28000,130.89799,128.46001,129.11000,129.11000,17548400
44,2023-08-17,130.45000,132.49100,129.85001,130.46001,130.46001,23665600
45,2023-08-18,129.06000,129.83000,127.00000,128.11000,128.11000,23619400
46,2023-08-21,127.85000,129.25999,127.16000,128.92999,128.92999,21851100
47,2023-08-22,129.13000,130.95000,128.92500,129.69000,129.69000,15569400
48,2023-08-23,130.85001,134.07001,130.50999,133.21001,133.21001,26497000
49,2023-08-24,134.72701,134.97000,130.30000,130.42000,130.42000,18680400
50,2023-08-25,130.14000,131.39999,128.03999,130.69000,130.69000,20678100
51,2023-08-28,132.08000,133.24001,130.85001,131.78999,131.78999,16715500
52,2023-08-29,132.99800,137.29500,132.98000,135.49001,135.49001,30803300
53,2023-08-30,135.57001,137.25000,135.02100,136.92999,136.92999,21773400
54,2023-08-31,137.05000,138.39999,136.82001,137.35001,137.35001,28147900
55,2023-09-01,138.42999,138.58000,135.94000,136.80000,136.80000,16665700
56,2023-09-05,136.44000,137.37000,135.56000,136.71001,136.71001,17730200
57,2023-09-06,137.01500,137.48000,134.69000,135.37000,135.37000,15814300
58,2023-09-07,134.60001,136.58000,133.96001,136.20000,136.20000,16976000
59,2023-09-08,135.87000,137.51500,135.87000,137.20000,137.20000,17810700
60,2023-09-11,137.38000,138.26401,136.55000,137.74001,137.74001,17180800
61,2023-09-12,137.13000,137.64000,135.92999,136.07001,136.07001,15212900
62,2023-09-13,135.89999,137.70000,134.92999,137.50000,137.50000,16379300
